RANK,NAME,NET WORTH,AGE,STATE,SOURCE,PHILANTHROPY SCORE,INDUSTRY,SOURCE OF WEALTH,SELF-MADE SCORE,RESIDENCE,CITIZENSHIP,MARITAL STATUS,CHILDREN,EDUCATION
114,John Morris,$8 B,76,Missouri,Sporting goods retail,3,FASHION & RETAIL,"Sporting goods retail, Self Made",9,"Springfield, Missouri",United States,Married,4,"Bachelor of Arts/Science, Drury University"
118,Arthur Blank,$7.9 B,81,Georgia,Home Depot,3,SPORTS,"Home Depot, Self Made",9,"Atlanta, Georgia",United States,Divorced,6,"Bachelor of Arts/Science, Babson College"
119,Bruce Kovner,$7.7 B,79,New York,Hedge funds,2,FINANCE & INVESTMENTS,"Hedge funds, Self Made",9,"New York, New York",United States,Married,3,"Bachelor of Arts/Science, Harvard University"
119,Igor Olenicoff,$7.7 B,81,Florida,Real estate,1,REAL ESTATE,"Real estate, Self Made",10,"Lighthouse Point, Florida",United States,Married,2,"Bachelor of Arts/Science, University of Southern California; Master of Business Administration, University of Southern California; Master of Science, University of Southern California"
121,Charles Butt,$7.6 B,86,Texas,Supermarkets,4,FASHION & RETAIL,Supermarkets,5,"San Antonio, Texas",United States,Single,"Bachelor of Arts/Science, University of Pennsylvania, The Wharton School",
121,David Steward,$7.6 B,73,Missouri,IT provider,2,TECHNOLOGY,"IT provider, Self Made",10,"St. Louis, Missouri",United States,Married,"Bachelor of Arts/Science, Central Missouri State University",
123,Jeff Greene,$7.5 B,69,Florida,"Real estate, investments",1,REAL ESTATE,"Real estate, investments, Self Made",10,"Palm Beach, Florida",United States,Married,3,"Master of Business Administration, Harvard University; Bachelor of Arts/Science, Johns Hopkins University"
123,Tamara Gustavson,$7.5 B,62,Kentucky,Self storage,1,SERVICE,Self storage,2,"Lexington, Kentucky",United States,Married,2,"Bachelor of Arts/Science, University of Southern California"
123,Richard Kinder,$7.5 B,79,Texas,Pipelines,3,ENERGY,"Pipelines, Self Made",8,"Houston, Texas",United States,Married,1,"Bachelor of Arts/Science, University of Missouri; Doctor of Jurisprudence, University of Missouri"
123,Ralph Lauren,$7.5 B,84,New York,Apparel,1,FASHION & RETAIL,"Apparel, Self Made",9,"New York, New York",United States,Married,3,"Drop Out, City University of New York City College; Diploma, High School"
