RANK,NAME,NET WORTH,AGE,STATE,SOURCE,PHILANTHROPY SCORE,INDUSTRY,Self-Made Score,Source of Wealth,Residence,Citizenship,Marital Status,Children,Education,Age,Philanthropy Score,Agent,Agency,Lifetime Giving,Giving as a percentage of net worth
119,Bruce Kovner,$7.7 B,78,New York,Hedge funds,2,FINANCE & INVESTMENTS,"Hedge funds, Self Made",79,9,9,2,2,"New York, New York",79,"Hedge funds, Self Made",,,,
119,Igor Olenicoff,$7.7 B,81,Florida,Real estate,1,REAL ESTATE,"Real estate, Self Made",81,10,10,1,1,"Lighthouse Point, Florida",81,"Real estate, Self Made",,,,
121,Charles Butt,$7.6 B,85,Texas,Supermarkets,4,FASHION & RETAIL,Supermarkets,86,5,5,4,,4,86,Supermarkets,,,,
121,David Steward,$7.6 B,72,Missouri,IT provider,2,TECHNOLOGY,"IT provider, Self Made",73,10,10,2,,2,73,"IT provider, Self Made",,,,
123,Jeff Greene,$7.5 B,68,Florida,"Real estate, investments",1,REAL ESTATE,"Real estate, investments, Self Made",69,10,10,1,1,"Palm Beach, Florida",69,"Real estate, investments, Self Made",,,,
123,Tamara Gustavson,$7.5 B,61,Kentucky,Self storage,1,SERVICE,Self storage,62,2,2,1,1,"Lexington, Kentucky",62,Self storage,,,,
123,Richard Kinder,$7.5 B,78,Texas,Pipelines,3,ENERGY,"Pipelines, Self Made",79,8,8,3,3,"Houston, Texas",79,"Pipelines, Self Made",,,,
123,Ralph Lauren,$7.5 B,83,New York,Apparel,1,FASHION & RETAIL,"Apparel, Self Made",84,9,9,1,1,"New York, New York",84,"Apparel, Self Made",,,,
123,Robert Rowling,$7.5 B,70,Texas,"Hotels, investments",2,SERVICE,"Hotels, investments",70,5,5,2,2,"Dallas, Texas",70,"Hotels, investments",,,,
128,Dannine Avara,$7.4 B,59,Texas,Pipelines,1,ENERGY,Pipelines,60,1,1,1,,,60,Pipelines,,,,
128,Scott Duncan,$7.4 B,40,Texas,Pipelines,1,ENERGY,Pipelines,41,1,1,1,,1,41,Pipelines,,,,
128,Judy Faulkner,$7.4 B,80,Wisconsin,Healthcare software,2,TECHNOLOGY,"Healthcare software, Self Made",81,8,8,2,2,"Madison, Wisconsin",81,"Healthcare software, Self Made",,,,
